spanish,english,POS,lemma,lemma_valid
mudo,"mute, silent",ADJ,mudo,True
nativo,native,ADJ,nativo,True
notorio,"notorious, noticeable",ADJ,notorio,True
obligatorio,"obligatory, compulsory",ADJ,obligatorio,True
optimista,optimistic,ADJ,optimista,True
pacífico,peaceful,ADJ,pacífico,True
pálido,"pale, ghastly, faded",ADJ,pálido,True
pasajero,passenger (nm),NOUN,pasajero,True
poético,poetic,ADJ,poético,True
policial,police (adj),ADJ,policial,True
potente,"potent, powerful",ADJ,potente,True
preferible,preferable,ADJ,preferible,True
preso,prisoner (nm),NOUN,preso,True
procedente,coming from&nbsp;[also proveniente],ADJ,procedente,True
psicológico,psychological,ADJ,psicológico,True
puntual,punctual,ADJ,puntual,True
quemado,"burned, burnt",ADJ,quemado,True
quieto,"still, motionless, calm",ADJ,quieto,True
referente,concerning,ADJ,referente,True
regional,regional,ADJ,regional,True
repentino,sudden [also súbito],ADJ,repentino,True
restante,remaining,ADJ,restante,True
ridículo,"ridiculous, absurd (adj)",ADJ,ridículo,True
rotundo,categorical,ADJ,rotundo,True
rubio,"blonde, fair",ADJ,rubio,True
satisfactorio,satisfactory,ADJ,satisfactorio,True
sexto,sixth,ADJ,sexto,True
silencioso,"quiet, silent",ADJ,silencioso,True
simbólico,symbolic,ADJ,simbólico,True
solemne,solemn,ADJ,solemne,True
soltero,"single, not married",ADJ,soltero,True
sorprendido,surprised,ADJ,sorprendido,True
sostenido,"sustained, steady",ADJ,sostenido,True
tardío,"late, belated",ADJ,tardío,True
teatral,theatrical,ADJ,teatral,True
temporal,temporary,ADJ,temporal,True
tenso,"tight, tense",ADJ,tenso,True
usado,"worn out, old, used",ADJ,usado,True
vago,vague,ADJ,vago,True
valiente,"brave, courageous, bold",ADJ,valiente,True
vano,"vain, useless",ADJ,vano,True
vegetal,"plant, vegetable (adj)",ADJ,vegetal,True
verbal,"verbal, oral",ADJ,verbal,True
vertical,"vertical, upright",ADJ,vertical,True
vinculado,connected,ADJ,vinculado,True
vuestro,your (plural familiar),ADJ,vuestro,True
anoche,last night,ADV,anoche,True
automáticamente,automatically,ADV,automáticamente,True
concretamente,"specifically, exactly",ADV,concretamente,True
curiosamente,"strangely, funnily enough",ADV,curiosamente,True
desgraciadamente,unfortunately,ADV,desgraciadamente,True
difícilmente,with difficulty,ADV,difícilmente,True
habitualmente,habitually,ADV,habitualmente,True
indudablemente,"doubtless, undoubtedly",ADV,indudablemente,True
lógicamente,logically,ADV,lógicamente,True
ojalá,I hope that,ADV,ChatGPT doesn't think this is a valid POS tag,False
permanentemente,permanently,ADV,permanentemente,True
propiamente,"exactly, properly",ADV,propiamente,True
seriamente,seriously,ADV,seriamente,True
sucesivamente,"successively, step by step",ADV,sucesivamente,True
tranquilamente,"calmly, peacefully",ADV,tranquilamente,True
ama,"housekeeper, housewife",NOUN,ama,True
asistente,assistant,NOUN,asistente,True
cantante,singer,NOUN,cantante,True
civil,civilian (nc),NOUN,ChatGPT doesn't think this is a valid POS tag,False
descendiente,descendant,NOUN,No examples found,False
dirigente,"leader, director, manager",NOUN,dirigente,True
turista,tourist (nc),NOUN,turista,True
abundancia,abundance,NOUN,abundancia,True
adolescencia,adolescence,NOUN,adolescencia,True
advertencia,"warning, notice",NOUN,advertencia,True
afición,"fondness, interest",NOUN,afición,True
agresión,"aggression, attack",NOUN,agresión,True
alarma,alarm,NOUN,alarma,True
aldea,small village,NOUN,aldea,True
alfombra,"rug, carpet mat",NOUN,alfombra,True
ansiedad,anxiety,NOUN,ansiedad,True
apertura,"opening, beginning",NOUN,apertura,True
audiencia,"audience, hearing",NOUN,audiencia,True
autonomía,"autonomy, range",NOUN,autonomía,True
bala,"bullet, shot",NOUN,bala,True
barba,beard,NOUN,barba,True
caña,"cane, reed",NOUN,caña,True
carencia,"lack, shortage [also falta]",NOUN,carencia,True
catástrofe,catastrophe,NOUN,catástrofe,True
celebración,celebration,NOUN,celebración,True
célula,cell (biology),NOUN,célula,True
cerveza,"beer, ale",NOUN,cerveza,True
cintura,waist,NOUN,cintura,True
clave,key (adj),ADJ,ChatGPT doesn't think this is a valid POS tag,False
comedia,"comedy, play, pretense",NOUN,comedia,True
complicación,complication,NOUN,complicación,True
concesión,"awarding, concession",NOUN,concesión,True
conexión,"connection, relationship",NOUN,conexión,True
confesión,"confession, admission",NOUN,confesión,True
constancia,perseverance,NOUN,constancia,True
continuidad,continuity,NOUN,continuidad,True
conveniencia,"convenience, usefulness",NOUN,conveniencia,True
corbata,"tie, sash",NOUN,corbata,True
corrupción,corruption,NOUN,corrupción,True
decadencia,"decline, decay",NOUN,decadencia,True
depresión,"depression, slump",NOUN,depresión,True
desconfianza,distrust,NOUN,desconfianza,True
diversión,"fun, entertainment",NOUN,diversión,True
duración,"duration, length",NOUN,duración,True
emergencia,emergency,NOUN,emergencia,True
envidia,envy,NOUN,envidia,True
escasez,"scarcity, shortage",NOUN,escasez,True
espada,sword,NOUN,espada,True
estabilidad,stability,NOUN,estabilidad,True
estadística,statistic,NOUN,estadística,True
estatua,statue,NOUN,estatua,True
excelencia,excellence,NOUN,excelencia,True
falda,skirt,NOUN,falda,True
feria,"fair, festival",NOUN,feria,True
fibra,"fiber, grain",NOUN,fibra,True
ficción,fiction,NOUN,ficción,True
finalidad,"purpose, aim",NOUN,finalidad,True
fortaleza,"fortress, strength",NOUN,fortaleza,True
frustración,frustration,NOUN,frustración,True
galería,"gallery, balcony",NOUN,galería,True
gallina,"hen, coward",NOUN,gallina,True
garganta,"throat, gorge",NOUN,garganta,True
grandeza,"greatness, size",NOUN,grandeza,True
grasa,"grease, fat",NOUN,grasa,True
hembra,"female, woman",NOUN,hembra,True
ideología,ideology,NOUN,ideología,True
ignorancia,ignorance,NOUN,ignorancia,True
indiferencia,indifference,NOUN,indiferencia,True
inspiración,"inspiration, inhalation",NOUN,inspiración,True
introducción,introduction,NOUN,introducción,True
jerarquía,"hierarchy, rank",NOUN,jerarquía,True
junta,"meeting, conference, seam",NOUN,junta,True
justificación,justification,NOUN,justificación,True
lámpara,lamp,NOUN,lámpara,True
lana,wool,NOUN,lana,True
lástima,"shame, pity",NOUN,lástima,True
licencia,"license, permission",NOUN,licencia,True
magia,magic,NOUN,magia,True
manga,sleeve,NOUN,manga,True
máscara,mask,NOUN,máscara,True
matemática,mathematics,NOUN,matemática,True
mejora,improvement,NOUN,mejora,True
mención,mention,NOUN,mención,True
mentalidad,"mindset, mind",NOUN,mentalidad,True
mina,mine (nf),NOUN,mina,True
molestia,"bother, nuisance, trouble",NOUN,molestia,True
motivación,motivation,NOUN,motivación,True
muñeca,"doll, wrist",NOUN,muñeca,True
negativa,"negative, denial",NOUN,negativa,True
nostalgia,"nostalgia, homesickness",NOUN,nostalgia,True
obsesión,"mania, obsession",NOUN,obsesión,True
orquesta,"orchestra, dance band",NOUN,orquesta,True
paja,"straw, thatching",NOUN,paja,True
pauta,"guideline, rule, standard",NOUN,pauta,True
pelea,"fight, quarrel",NOUN,pelea,True
permanencia,"permanence, tenure",NOUN,permanencia,True
persecución,"pursuit, persecution",NOUN,persecución,True
pesadilla,nightmare,NOUN,pesadilla,True
pesca,fishing,NOUN,pesca,True
petición,"request, petition",NOUN,petición,True
placa,"plaque, plate, badge",NOUN,placa,True
plenitud,"fullness, abundance",NOUN,plenitud,True
porción,"part, portion, share",NOUN,porción,True
porquería,"filth, junk",NOUN,porquería,True
previsión,"forecast, precaution",NOUN,previsión,True
prima,"female cousin, down payment",NOUN,prima,True
prisa,hurry,NOUN,prisa,True
proximidad,proximity,NOUN,proximidad,True
proyección,"projection, screening",NOUN,proyección,True
pureza,"purity, chastity",NOUN,pureza,True
rata,rat,NOUN,rata,True
raya,"line, ray, stripe",NOUN,raya,True
recepción,"reception, waiting-room",NOUN,recepción,True
receta,"recipe, prescription",NOUN,receta,True
recuperación,"recovery, recuperation",NOUN,recuperación,True
renta,"income, rent ",NOUN,renta,True
repetición,repetition,NOUN,repetición,True
república,republic,NOUN,república,True
respiración,"respiration, breath",NOUN,respiración,True
rutina,routine,NOUN,rutina,True
secuencia,sequence,NOUN,secuencia,True
sed,thirst,NOUN,sed,True
seda,silk,NOUN,seda,True
seriedad,seriousness,NOUN,seriedad,True
sierra,"mountain range, saw",NOUN,sierra,True
tapa,"cover, lid",NOUN,tapa,True
taza,"cup, bowl",NOUN,taza,True
timidez,"shyness, timidity",NOUN,timidez,True
tinta,ink,NOUN,tinta,True
tontería,"stupidity, stupid thing&nbsp;[also estupidez]",NOUN,tontería,True
traducción,translation,NOUN,traducción,True
traición,"treason, betrayal",NOUN,traición,True
transición,transition,NOUN,transición,True
trascendencia,"transcendent nature, significance",NOUN,trascendencia,True
trayectoria,"trajectory, path",NOUN,trayectoria,True
uña,"nail, fingernail, toenail",NOUN,uña,True
utilización,"use, utilization",NOUN,utilización,True
venganza,"revenge, vengeance",NOUN,venganza,True
de veras; vera,"really, for real",NOUN,Too many tokens,False
acero,steel,NOUN,acero,True
adorno,"decoration, adornment",NOUN,adorno,True
aficionado,"fan, devotee",NOUN,aficionado,True
agujero,"hole, opening",NOUN,agujero,True
alcalde,mayor,NOUN,alcalde,True
aliento,"breath, courage, spirit",NOUN,aliento,True
almuerzo,lunch,NOUN,almuerzo,True
amanecer,"daybreak, dawn (nm)",NOUN,amanecer,True
anillo,ring,NOUN,anillo,True
aplauso,"applause, praise, acclaim",NOUN,aplauso,True
archivo,"archive, file, filing cabinet",NOUN,archivo,True
arroz,rice,NOUN,arroz,True
ascenso,"promotion, climb",NOUN,ascenso,True
asesinato,"murder, assassination",NOUN,asesinato,True
asesino,"killer, assassin",NOUN,asesino,True
atractivo,"attraction, charm (nm)",NOUN,ChatGPT doesn't think this is a valid POS tag,False
auxilio,"help, aid, assistance",NOUN,auxilio,True
balance,"outcome, balance",NOUN,balance,True
balcón,balcony,NOUN,balcón,True
bando,"faction, side",NOUN,bando,True
bebé,baby,NOUN,bebé,True
beso,kiss,NOUN,beso,True
billete,"ticket, bill, note",NOUN,billete,True
brillo,"shine, twinkling, sparkle",NOUN,brillo,True
bronce,bronze,NOUN,bronce,True
cáncer,cancer,NOUN,cáncer,True
cañón,"canyon, cannon",NOUN,cañón,True
cartel,poster,NOUN,cartel,True
cartón,"cardboard, carton, sketch",NOUN,cartón,True
casco,helmet,NOUN,casco,True
castillo,castle,NOUN,castillo,True
cauce,"riverbed, ditch",NOUN,cauce,True
cemento,"cement, concrete",NOUN,cemento,True
centenar,hundred (nm),NOUN,centenar,True
cerdo,"pig, sow, slob",NOUN,cerdo,True
cerro,hill,NOUN,cerro,True
comedor,dining room,NOUN,comedor,True
congreso,congress,NOUN,congreso,True
coraje,"courage, toughness",NOUN,coraje,True
costado,"side, flank",NOUN,costado,True
costo,"price, cost, expense",NOUN,costo,True
crítico,critic (nm),NOUN,crítico,True
cuaderno,"notebook, workbook",NOUN,cuaderno,True
defensor,defender,NOUN,defensor,True
demonio,"demon, devil",NOUN,demonio,True
desayuno,breakfast,NOUN,desayuno,True
domicilio,"residence, address",NOUN,domicilio,True
dormitorio,"bedroom, dormitory",NOUN,dormitorio,True
dulce,"candy, sweets (nm)",NOUN,dulce,True
empeño,"insistence, determination",NOUN,empeño,True
encanto,"charm, spell",NOUN,encanto,True
enfrentamiento,confrontation,NOUN,enfrentamiento,True
engaño,"deceit, falsehood, hoax",NOUN,engaño,True
entendimiento,understanding,NOUN,entendimiento,True
escudo,"shield, coat of arms",NOUN,escudo,True
exilio,exile,NOUN,exilio,True
filo,cutting edge,NOUN,filo,True
fragmento,"fragment, passage",NOUN,fragmento,True
globo,"balloon, globe",NOUN,globo,True
guante,glove,NOUN,guante,True
hallazgo,"finding, discovery",NOUN,hallazgo,True
horno,"oven, furnace",NOUN,horno,True
imperio,"empire, fortune",NOUN,imperio,True
incidente,incident,NOUN,incidente,True
indicio,"indication, sign",NOUN,indicio,True
infierno,"hell, inferno",NOUN,infierno,True
ingenio,"ingenuity, talent, wit",NOUN,ingenio,True
invento,invention,NOUN,invento,True
jugador,"player, gambler",NOUN,jugador,True
ladrillo,brick,NOUN,ladrillo,True
lápiz,pencil,NOUN,lápiz,True
latín,Latin (nm),NOUN,latín,True
logro,"success, achievement",NOUN,logro,True
macho,"male, manliness",NOUN,macho,True
maíz,"corn, maize",NOUN,maíz,True
malestar,"discomfort, unease, unrest",NOUN,malestar,True
mandato,"mandate, order, command",NOUN,mandato,True
manifiesto; poner de manifiesto ,to show,NOUN,Too many tokens,False
martes,Tuesday,NOUN,martes,True
miércoles,Wednesday,NOUN,miércoles,True
ministerio,ministry,NOUN,ministerio,True
mono,monkey,NOUN,mono,True
monstruo,"monster, monstrosity",NOUN,monstruo,True
músculo,muscle,NOUN,músculo,True
nido,nest,NOUN,nido,True
nudo,knot,NOUN,nudo,True
obispo,bishop,NOUN,obispo,True
observador,observer,NOUN,observador,True
otoño,autumn,NOUN,otoño,True
pánico,panic,NOUN,pánico,True
párrafo,paragraph,NOUN,párrafo,True
patrimonio,"patrimony, inheritance",NOUN,patrimonio,True
petróleo,"oil, petroleum",NOUN,petróleo,True
plano,"flat, plain, even, level (adj)",ADJ,No examples found,False
plomo,"lead, bullet",NOUN,plomo,True
pollo,chicken,NOUN,pollo,True
porcentaje,percentage,NOUN,porcentaje,True
portador,"bearer, carrier",NOUN,portador,True
prisionero,prisoner,NOUN,prisionero,True
pulmón,lung,NOUN,pulmón,True
quehacer,"task, job, chore",NOUN,quehacer,True
queso,cheese,NOUN,queso,True
rango,"rank, range",NOUN,rango,True
rastro,"track, sign, flea market",NOUN,rastro,True
razonamiento,reasoning,NOUN,razonamiento,True
recinto,"grounds, precincts",NOUN,recinto,True
reparto,"distribution, delivery",NOUN,reparto,True
restaurante,restaurant,NOUN,restaurante,True
reto,"challenge, defiance",NOUN,reto,True
retorno,return [also regreso],NOUN,retorno,True
rito,"rite, ritual",NOUN,rito,True
salario,"salary, wages",NOUN,salario,True
seguro,insurance (nm),NOUN,seguro,True
suicidio,suicide,NOUN,suicidio,True
susto,"fright, scare",NOUN,susto,True
taxi,"taxi, cab",NOUN,taxi,True
televisor,television set,NOUN,televisor,True
timbre,"doorbell, bell, seal, stamp",NOUN,timbre,True
toque,"touch, ringing, warning",NOUN,toque,True
trámite,"procedure, step, requirement",NOUN,trámite,True
tramo,"section, stretch, plot",NOUN,tramo,True
transcurso,"passing, course, lapse",NOUN,transcurso,True
trayecto,"trajectory, course, path",NOUN,trayecto,True
viajero,"traveler, passenger",NOUN,viajero,True
vientre,"womb, belly",NOUN,vientre,True
vigor,"force, strength, vigor",NOUN,vigor,True
vínculo,"tie, bond, link",NOUN,vínculo,True
cazador,hunter,NOUN,cazador,True
conductor,"driver, conductor",NOUN,conductor,True
enfermero,nurse,NOUN,enfermero,True
historiador,historian,NOUN,historiador,True
pastor,"shepherd, pastor",NOUN,pastor,True
diecisiete,seventeen,NUM,diecisiete,True
noventa,ninety,NUM,noventa,True
quinientos,five hundred,NUM,quinientos,True
trescientos,three hundred,NUM,trescientos,True
excepto,except for,ADP,excepto,True
contigo,with you,PRON,tú,True
vos,you (subj singular familiar) [also tú],PRON,No examples found,False
acelerar,"to accelerate, speed up",VERB,acelerar,True
acertar,to get right,VERB,acertar,True
acostar,to put/go to bed,VERB,acostar,True
adorar,"to worship, adore",VERB,adorar,True
agitar,"to shake, move",VERB,agitar,True
aislar,"to isolate, insulate",VERB,aislar,True
alentar,to encourage,VERB,alentar,True
aliviar,"to lighten, relieve, comfort",VERB,aliviar,True
alternar,to alternate,VERB,alternar,True
aludir,to allude to,VERB,aludir,True
aplastar,"to flatten, crush, smash",VERB,aplastar,True
aplaudir,"to clap, applaud",VERB,aplaudir,True
apoderar,to take power,VERB,apoderar,True
arder,"to burn, glow",VERB,arder,True
arrebatar,"to snatch, grab",VERB,arrebatar,True
arriesgar,"to risk, venture",VERB,arriesgar,True
asentar,"to settle, establish, locate",VERB,asentar,True
asesinar,"to murder, assassinate",VERB,asesinar,True
asignar,"to assign, allocate",VERB,asignar,True
bañar,"to bathe, take a bath",VERB,bañar,True
barrer,"sweep, clean out",VERB,barrer,True
batir,to beat an object,VERB,batir,True
bautizar,"to baptize, christen",VERB,bautizar,True
beneficiar,to benefit,VERB,beneficiar,True
burlar,to mock,VERB,burlar,True
calmar,"to calm, soothe, relieve",VERB,calmar,True
cazar,to hunt,VERB,cazar,True
cenar,to dine,VERB,cenar,True
clavar,to nail,VERB,clavar,True
cocinar,to cook,VERB,cocinar,True
compensar,"to compensate, make up for",VERB,compensar,True
conectar,"to connect, plug in",VERB,conectar,True
culminar,"to culminate, accomplish",VERB,culminar,True
debatir,"to debate, discuss",VERB,debatir,True
demorar,"to delay, take time",VERB,demorar,True
desatar,"to untie, unleash, spark off",VERB,desatar,True
descargar,"to unleash, unload",VERB,descargar,True
descuidar,to neglect,VERB,descuidar,True
desembocar,"to flow, lead into",VERB,desembocar,True
desplegar,"to unfold, deploy",VERB,desplegar,True
despreciar,"to despise, scorn",VERB,despreciar,True
disimular,"to disguise, hide, pretend",VERB,disimular,True
disolver,to dissolve,VERB,disolver,True
disputar,"to dispute, contest",VERB,disputar,True
eludir,"to evade, avoid, elude",VERB,eludir,True
emerger,"to emerge, surface",VERB,emerger,True
enamorar,to fall in love,VERB,enamorar,True
encajar,"to insert, fit well",VERB,encajar,True
ensayar,"to test,&nbsp;rehearse",VERB,ensayar,True
evolucionar,"to evolve, develop",VERB,evolucionar,True
excluir,"to exclude, reject",VERB,excluir,True
fallecer,to pass away (to die),VERB,No examples found,False
finalizar,"to end, finalize",VERB,finalizar,True
fluir,to flow,VERB,fluir,True
herir,"to wound, hurt",VERB,herir,True
improvisar,to improvise,VERB,improvisar,True
insinuar,"to insinuate, hint",VERB,insinuar,True
localizar,"to locate, find, localize",VERB,localizar,True
motivar,"to motivate, cause",VERB,motivar,True
nadar,to swim,VERB,nadar,True
navegar,"to navigate, sail",VERB,navegar,True
ocasionar,"to occasion, bring about",VERB,ocasionar,True
odiar,to hate,VERB,odiar,True
oler,to smell,VERB,oler,True
perfeccionar,to perfect,VERB,perfeccionar,True
perjudicar,to endanger,VERB,perjudicar,True
persistir,to persist,VERB,persistir,True
preceder,to precede,VERB,preceder,True
precipitar,"to plunge, hurl, rush",VERB,precipitar,True
preservar,to preserve,VERB,preservar,True
presidir,to preside over,VERB,presidir,True
presumir,"to boast, show off, suppose",VERB,presumir,True
prevenir,"to avoid, prevent [also evitar]",VERB,prevenir,True
programar,"to plan, program",VERB,programar,True
reemplazar,to replace,VERB,reemplazar,True
reforzar,"to reinforce, strengthen",VERB,reforzar,True
regir,"to rule, govern, manage",VERB,regir,True
remitir,to remit,VERB,remitir,True
reponer,"to replace, restore",VERB,reponer,True
resumir,to summarize,VERB,resumir,True
retomar,"to retake, restart",VERB,retomar,True
rodar,"to roll, run, scatter",VERB,rodar,True
rogar,"to implore, pray, ask",VERB,rogar,True
rozar,to touch lightly,VERB,rozar,True
soplar,to blow (wind),VERB,soplar,True
subrayar,"to underline, highlight, emphasize",VERB,subrayar,True
suscitar,"to arouse, provoke",VERB,suscitar,True
temblar,"to tremble, shake",VERB,temblar,True
tornar,"to transform, turn",VERB,tornar,True
velar,to watch over,VERB,velar,True
volcar,"to turn/knock over, empty",VERB,volcar,True
votar,to vote,VERB,votar,True
abstracto,abstract,ADJ,abstracto,True
africano,African,ADJ,africano,True
agrícola,"agricultural, farming",ADJ,agrícola,True
ambiguo,ambiguous,ADJ,ambiguo,True
anual,"annual, yearly",ADJ,anual,True
apasionado,passionate,ADJ,apasionado,True
apretado,"tight, jammed",ADJ,apretado,True
apto,"appropriate, fit, able",ADJ,apto,True
asombroso,amazing,ADJ,asombroso,True
áspero,"rough, coarse, harsh",ADJ,áspero,True
asustado,"scared, frightened",ADJ,asustado,True
autoritario,authoritarian,ADJ,autoritario,True
autorizado,authorized,ADJ,autorizado,True
biológico,biological,ADJ,biológico,True
brutal,"brutal, savage",ADJ,brutal,True
civilizado,civilized,ADJ,civilizado,True
comparable,comparable,ADJ,comparable,True
complementario,"additional, complementary",ADJ,complementario,True
consagrado,"dedicated, consecrated",ADJ,consagrado,True
costoso,"costly, expensive",ADJ,costoso,True
creativo,creative,ADJ,creativo,True
cubano,Cuban,ADJ,cubano,True
denso,"heavy, dense, thick",ADJ,denso,True
desaparecido,missing,ADJ,desaparecido,True
desigual,"uneven, unequal",ADJ,desigual,True
despierto,awake,ADJ,despierto,True
diplomático,diplomatic (adj),ADJ,diplomático,True
disperso,spread out,ADJ,disperso,True
dominante,dominant,ADJ,dominante,True
educativo,educational,ADJ,educativo,True
eficiente,efficient,ADJ,eficiente,True
egoísta,selfish,ADJ,egoísta,True
embarazada,pregnant,ADJ,embarazado,True
emocional,emotional,ADJ,emocional,True
encantador,charming,ADJ,encantador,True
espeso,"thick, dense, stiff",ADJ,espeso,True
estático,"static, motionless",ADJ,estático,True
estudioso,studious,ADJ,estudioso,True
exigente,"demanding, urgent",ADJ,exigente,True
exótico,exotic,ADJ,exótico,True
fabuloso,"fabulous, fantastic",ADJ,fabuloso,True
fascinante,fascinating,ADJ,fascinante,True
feroz,"ferocious, fierce",ADJ,feroz,True
flaco,"thin, frail",ADJ,flaco,True
franco,"open, frank, outspoken",ADJ,franco,True
funcional,functional,ADJ,funcional,True
furioso,furious,ADJ,furioso,True
global,"global, overall",ADJ,global,True
glorioso,glorious,ADJ,glorioso,True
horizontal,horizontal,ADJ,horizontal,True
hostil,"hostile, unfriendly",ADJ,hostil,True
imaginario,imaginary,ADJ,imaginario,True
impreso,printed,ADJ,impreso,True
incierto,uncertain,ADJ,incierto,True
inédito,unpublished,ADJ,inédito,True
ingenuo,"naive, ingenuous",ADJ,ingenuo,True
insignificante,insignificant,ADJ,insignificante,True
insólito,"unusual, uncommon",ADJ,insólito,True
integrante,"integral, part of a group",ADJ,integrante,True
inverso,"inverse, opposite",ADJ,inverso,True
invisible,invisible,ADJ,invisible,True
latinoamericano,Latin American,ADJ,latinoamericano,True
leal,"loyal, faithful",ADJ,leal,True
lingüístico,linguistic,ADJ,lingüístico,True
liso,"smooth, flat, straight",ADJ,liso,True
lujoso,luxurious,ADJ,lujoso,True
manual,"manual, handbook (nm)",NOUN,manual,True
marginal,"marginal, minor",ADJ,marginal,True
masivo,"mass, massive",ADJ,masivo,True
matemático,mathematical,ADJ,matemático,True
mensual,monthly,ADJ,mensual,True
mexicano,Mexican,ADJ,mexicano,True
oral,oral,ADJ,oral,True
orgánico,organic,ADJ,orgánico,True
parcial,"partial, biased",ADJ,parcial,True
pardo,"brown, dark, dim",ADJ,pardo,True
penoso,"painful, laborious",ADJ,penoso,True
pésimo,"dreadful, awful",ADJ,pésimo,True
poblado,populated,ADJ,ChatGPT doesn't think this is a valid POS tag,False
portugués,Portuguese,ADJ,portugués,True
preferido,"preferred, favorite",ADJ,preferido,True
privilegiado,privileged,ADJ,privilegiado,True
progresivo,progressive,ADJ,progresivo,True
propicio,"appropriate, suitable",ADJ,propicio,True
rebelde,rebel (adj),ADJ,rebelde,True
repleto,"full, overcrowded",ADJ,repleto,True
representativo,representative (adj),ADJ,representativo,True
respetuoso,respectful,ADJ,respetuoso,True
saludable,"healthy, wholesome [also sano]",ADJ,saludable,True
sangriento,bloody,ADJ,sangriento,True
sistemático,systematic,ADJ,sistemático,True
solar,solar,ADJ,solar,True
sospechoso,suspicious,ADJ,sospechoso,True
subterráneo,underground,ADJ,subterráneo,True
sumo,"utmost, highest",ADJ,sumo,True
tecnológico,technological,ADJ,tecnológico,True
temeroso,fearful,ADJ,temeroso,True
tendido,"spread, hung, laid out",ADJ,tendido,True
tibio,lukewarm,ADJ,tibio,True
torpe,"clumsy, awkward, slow",ADJ,torpe,True
tropical,tropical,ADJ,tropical,True
turco,Turkish,ADJ,turco,True
vasco,Basque,ADJ,vasco,True
vigente,"in force, valid",ADJ,vigente,True
virgen,virgin (nf),NOUN,No examples found,False
adónde,to where?,ADV,No examples found,False
antaño,"in days gone by, last year",ADV,antaño,True
antemano,"beforehand, in advance",ADV,ChatGPT doesn't think this is a valid POS tag,False
asimismo,"as well, also, moreover",ADV,asimismo,True
básicamente,basically,ADV,básicamente,True
diariamente,daily (adv),ADV,diariamente,True
enormemente,enormously,ADV,enormemente,True
enteramente,"completely, entirely",ADV,enteramente,True
excesivamente,excessively,ADV,excesivamente,True
extraordinariamente,extraordinarily,ADV,extraordinariamente,True
físicamente,physically,ADV,físicamente,True
frecuentemente,"frequently, often",ADV,frecuentemente,True
fuertemente,strongly,ADV,fuertemente,True
inclusive,"including, even",ADV,No examples found,False
inevitablemente,inevitably,ADV,inevitablemente,True
intensamente,intensely,ADV,intensamente,True
lamentablemente,regrettably,ADV,lamentablemente,True
literalmente,literally,ADV,literalmente,True
obviamente,obviously,ADV,obviamente,True
simultáneamente,simultaneously,ADV,simultáneamente,True
sinceramente,sincerely,ADV,sinceramente,True
suavemente,softly,ADV,suavemente,True
cuidadosamente,carefully,ADV,cuidadosamente,True
compatriota,fellow countryman,NOUN,compatriota,True
rival,rival,NOUN,rival,True
acumulación,accumulation,NOUN,acumulación,True
acusación,"accusation, charge",NOUN,acusación,True
adaptación,adaptation,NOUN,adaptación,True
adquisición,acquisition,NOUN,adquisición,True
agricultura,"agriculture, farming",NOUN,agricultura,True
aguja,"needle, spire, stylus",NOUN,aguja,True
alianza,alliance,NOUN,alianza,True
alteración,"alteration, change",NOUN,alteración,True
alusión,"allusion, hint",NOUN,alusión,True
amplitud,"breadth, extent, range",NOUN,amplitud,True
antigüedad,"antiquity, seniority",NOUN,antigüedad,True
aprobación,"approval, consent",NOUN,aprobación,True
asamblea,assembly,NOUN,asamblea,True
beca,"scholarship, grant",NOUN,beca,True
bestia,"beast, brute",NOUN,bestia,True
bicicleta,bicycle,NOUN,bicicleta,True
cabecera,"head, header",NOUN,cabecera,True
capilla,chapel,NOUN,capilla,True
caridad,charity,NOUN,caridad,True
casita,cottage,NOUN,casita,True
ceniza,ash,NOUN,ceniza,True
censura,"censorship, criticism",NOUN,censura,True
central,headquarters (nf),NOUN,central,True
chispa,spark,NOUN,chispa,True
clínica,clinic,NOUN,clínica,True
comunión,communion,NOUN,comunión,True
condena,"sentence in prison, penalty",NOUN,condena,True
conservación,conservation,NOUN,conservación,True
corrección,"correction, amendment",NOUN,corrección,True
cortina,"curtain, screen",NOUN,cortina,True
crueldad,"cruelty, harshness",NOUN,crueldad,True
cuadra,"city block, stable",NOUN,cuadra,True
cubierta,"covering, top, lid",NOUN,cubierta,True
cumbre,"summit, top",NOUN,cumbre,True
cuna,"cradle, birth, lineage",NOUN,cuna,True
cúpula,"cupola, dome",NOUN,cúpula,True
dedicación,"dedication, devotion",NOUN,dedicación,True
devoción,devotion,NOUN,devoción,True
dieta,diet,NOUN,dieta,True
difusión,"spread, diffusion",NOUN,difusión,True
disputa,"dispute, argument, quarrel",NOUN,disputa,True
dueña,"landlady, owner (f)",NOUN,dueña,True
dureza,"hardness, toughness",NOUN,dureza,True
elaboración,production [also producción],NOUN,elaboración,True
electricidad,electricity,NOUN,electricidad,True
especulación,"speculation, conjecture",NOUN,especulación,True
espina,"thorn, spine",NOUN,espina,True
ética,ethics,NOUN,ética,True
etiqueta,"label, etiquette",NOUN,etiqueta,True
exactitud,accuracy,NOUN,exactitud,True
excursión,excursion,NOUN,excursión,True
excusa,excuse,NOUN,excusa,True
expansión,"expansion, spreading",NOUN,expansión,True
expedición,expedition,NOUN,expedición,True
explotación,"exploitation, cultivation",NOUN,explotación,True
fachada,front of a building,NOUN,fachada,True
ficha,"index card, chip, token",NOUN,ficha,True
fidelidad,"faithfulness, accuracy",NOUN,fidelidad,True
franja,"strip, stripe, fringe",NOUN,franja,True
